current_action,predicted_action,Llama-3.2_model_reply
pick-up food,throw food,fetch
pick-up glass,put-in glass,I'm washing the glass.
pick-up gloveoven,pick-up cheese,I'll wash the glove.
pick-up gloverubber,throw-down gloverubber,I'll wash the gloverubber.
pick-up holdercoffee,pick-up filter,fetch coffee
pick-up holderpot,put-down holderpot,I'll wash the pot.
pick-up kettle,pour-into kettle,fetch kettle
pick-up lettuce,put chicken,fetch lettuce.
pick-up lidpan,check temperaturepie,I'm washing the lidpan.
pick-up lidsaucepan,put rackdrying,fetch saucepan
pick-up lighter,pick-up parmesan,fetch lighter
pick-up liquidwashing,put liquidwashing,fetch liquid
pick-up liquidwashingup,pour liquidwashingup,fetch liquid
pick-up matsushi,put-away matsushi,I'll wash the matsuri.
pick-up meat,taste meat,fetch meat
pick-up melon,cut melon,I'll wash the melon.
pick-up milk,store milk,fetch milk
pick-up mittoven,open oven,I'll wash the mittoven.
pick-up mocha,pour water,fetch mocha
pick-up mozzarella,cut mozzarella,I'll wash the mozzarella.
pick-up mug,lift basecoffeemachine,I'm washing the mug.
pick-up nutpine,pick-up scissors,I'll wash the pine nuts.
pick-up oil,put-in oil,fetch oil.
pick-up olive,move dough,fetch olive
pick-up pancake,pick-up tray,fetch pancake
pick-up panfrying,put-down panfrying,Wash the pan.
pick-up paper,move glass,fetch paper
pick-up paperbaking,open paperbaking,fetch
pick-up pasta,put-down seedolive,fetch pasta
pick-up patty,put-in bag,fetch patty
pick-up peel,dry hand,I'll wash the peel.
pick-up peelingonion,test potato,I'll wash the peeling onion.
pick-up pepper,pick-up cutlery,I'll wash the pepper.
pick-up pie,put-in pie,fetch pie
pick-up pineapple,cut pineapple,fetch pineapple
pick-up pinrolling,roll dough,I'll wash the pin.
pick-up pizza,open pizza,fetch pizza
pick-up potatosweet,chop garlic,I'll wash the potatoes.
pick-up powderbaking,pour raisin,fetch powderbaking
pick-up rollpaper,take-from paper,I'll wash the rollpaper.
pick-up salad,open oven,fetch salad
pick-up salt,put breastchicken,fetch salt
pick-up saucepan,pick-up cloth,fetch saucepan
pick-up spatula,put-in dishwasher,fetch
pick-up spoonslotted,place liquidwashingup,fetch spoons
pick-up starter,smell starter,fetch starter
pick-up strainer,put-on potato,I'm washing the strainer.
pick-up tablet,get-from tablet,fetch
pick-up teapot,pick-up strainerteapot,fetch teapot
pick-up teaspoon,rinse teaspoon,fetch
pick-up tissue,pick-up teaspoon,fetch tissue
pick-up tongs,put-down tongs,I'm washing the tongs.
pick-up toweltea,push levertoaster,fetch towel
pick-up traybaking,put-down traybaking,fetch
pick-up tupperware,spread-in binleftoverfood,fetch tupperware
pick-up v60,put-into filter,fetch v60
pick-up water,pour-into water,fetch water
pick-up yoghurt,pick-up potato,fetch yoghurt
place bag,take boxlunch,fetch bag.
place glass,pick-up glass,I'll wash the glass.
play music,adjust stereo,I'll wash the dishes.
pour liquiddishwashing,wash chopstick,fetch liquid
pour liquidwashingup,take rag,fetch
pour sausage,flip tortilla,Pour sausage into pot.
pour-in oil,close bottleoil,fetch oil
pour-into flour,mix ingredient,fetch flour.
pour-into water,put-inside soap,fetch water.
pour-out water,put-down sieve,fetch water.
press switch,pick-up holdernapkin,I'm washing the utensils.
put bag,open bag,fetch bag
put boxlunch,grab saucepan,fetch boxlunch
put cutlery,rinse cutlery,fetch cutlery
put glass,open-up boxlunch,I'll wash the glass.
put gloveoven,pick-up scissors,fetch gloveoven
put grape,grab salmon,I'll wash the grape.
put hummus,pick-up rubbish,I'll wash the hummus.
put liquiddishwashing,put boardchopping,fetch liquiddish
put mug,pick-up glass,fetch mug
put onion,take onion,I'll wash the onion.
put plug,dry hand,I'm going to wash the plug.
put reductionbalsamic,put-on salt,I'll wash the reductionbalsamic.
put saucepan,take-out sticker,fetch saucepan
put spoonwooden,mix meat,I'll wash the spoonwooden.
put-down bagshopping,open bagshopping,fetch bag
put-down basketlaundry,open basketlaundry,fetch.
put-down boxcereal,close boxcereal,I'll wash the cereal.
put-down can,pick-up can,I'll wash the utensils.
put-down clip,pick-up clip,I'll wash the utensils.
put-down cloth,take cloth,I'll wash the cloth.
put-down colander,drain pasta,I'll wash the colander.
put-down cutlery,pick-up boardcutting,fetch utensils
put-down detergent,pick-up spatula,fetch detergent
put-down fingerfish,pick-up fingerfish,I'll wash the fingerfish.
put-down glass,pour-into squash,I'll wash the glass.
put-down lidtupperware,put-down tupperware,I'll wash the Tupperware.
put-down lighter,rinse hand,I'll wash the lighter.
put-down meat,pick-up meat,I'll wash the meat.
put-down milksoy,take clothtable,I'll wash the milksoy.
put-down mug,take coreapple,fetch water.
put-down packet,put packet,I'll wash the packet.
put-down paper,pick-up wok,I'll wash the paper.
put-down phone,pick-up teaspoon,fetch ingredients.
put-down pizza,put-back tray,fetch pizza
put-down rice,open paprika,I'll wash the rice.
put-down saucepansmall,pick-up soap,I'll wash the saucepans.
put-down sausage,pick-up salad,I'll wash the sausage.
put-down scale,turn-on scale,I'll wash the scale.
put-down spatula,pick-up cloth,I'm washing the spatula.
put-down tupperware,pick-up crumb,I'll wash the Tupperware.
put-in binfood,pick-up bag,fetch vegetables
put-in cereal,pick-up milk,fetch cereal.
put-in food,put oil,fetch food
put-in grape,wash hand,fetch grape
put-in grindcoffee,take milkcoconut,fetch coffee beans
put-in lidsaucepan,pick-up lidsaucepan,fetch saucepan
put-in rubbish,pick-up scale,fetch the rubbish
put-in soap,put-in dish,fetch soap
put-in tupperware,open packagetortilla,I'll wash the tupperware.
put-into dicecourgette,move slicecourgette,I'll wash the dicecourgette.
put-into glass,take saucepan,I'll wash the glass.
put-into restrice,put-into bowlglass,I'll wash the utensils.
put-into rice,wash rice,fetch water.
put-on bag,open bag,fetch bag.
put-on broccolipour,put-onto chicken,I'll wash the broccoli.
put-on glass,close freezer,I'll wash the glass.
put-on gloveoven,take-out trayoven,I'll wash the glove.
put-on noodleinstant,clean oven,I'll wash the noodle instant.
put-on oat,close packingoat,I'll wash the oat.
put-on saucepan,grab rice,fetch saucepan
put-on soap,clean mug,fetch soap
read packageparsley,put-in oil,I'll wash the parsley.
remove holdercoffee,rinse hand,fetch coffee beans.
remove stirrercoffee,put-down sugar,fetch coffee beans
remove-from content,open tupperware,I will wash the utensils.
rinse frontplate,shake-off hand,I'll wash the frontplate.
rinse glass,grab glass,Wash the glass.
rinse hand,pick-up clothdish,wash
rinse utensil,put utensil,fetch utensils
serve jambalaya,spoon-onto food,Wash the jambalaya pot.
set-off alarm,pick-up gloveoven,fetch ingredients
set-off timer,put-down spoonwooden,set-off timer.
shake oat,wash berry,I'll wash the oat.
shake-off hand,empty milk,I'll wash the chef's hands.
spoon starter,pick-up flour,fetch
squeeze cloth,throw-in rubbish,I'll wash the cloth.
stir buttermelting,pick-up knifeparing,wash the buttermelting pan.
stir contentfryingpan,put-down spatula,I'll wash the pan.
stir courgette,stir rice,I'll wash the courgette.
stir curdlemon,put-down ladle,wash the curdlemon.
stir food,pick-up saucepan,Wash the utensils.
stir mixturelemoncurd,bend book,I'll wash the lemon curd.
stir pasta,pick-up detergent,Wash pasta.
stir sauce,close bagpasta,wash the saucepan.
stir tortellini,put-in tortellini,Wash the tortellini.
stir-with soup,adjust-on heat,Wash the utensils.
stir-with spatula,pick-up peelerpotato,I'll wash the spatula.
strain-from water,remove lidfilm,I'll wash the water.
swallow tablet,pick-up glass,"I cannot provide medical advice. If the chef is swallowing tablets, I recommend that you consult a medical professional."
sweep rice,move rice,I'll wash the rice.
switch-off fanextractor,take glove,I will wash the fanextractor.
switch-on machinecoffee,pick podcoffee,fetch coffee beans
take avocado,put-in onionspring,I'll wash the avocado.
take bag,take milksoy,fetch bag.
take bagcereal,fold bagcereal,fetch bagcereal
take barcereal,fold barcereal,I'll wash the cereal.
take beangreen,trim-into beangreen,I'll wash the beangreen.
take bottleoil,slice chicken,fetch bottle oil
take boxplastic,take garlic,I'll wash the boxplastic.
take bread,open bag,fetch bread.
take butter,take tortellini,I'll wash the butter.
take cartonegg,break egg,I'll wash the cartonegg.
take chicken,cut chicken,Wash the chicken.
take chilli,open chilli,wash the chilli.
take containerfood,take dish,fetch containerfood
take cutcold,remove filmcling,I'll wash the cut cold.
take detergent,take napkin,fetch detergent
take dish,start dish,Wash the dish.
take fruit,squeeze cloth,wash the fruit.
take glass,take rice,I'll wash the glass.
take glove,take scissors,I'll wash the glove.
take jug,place-on jug,fetch jug.
take kettle,rinse kettle,fetch water.
take ladle,put-down ladle,I'll wash the ladle.
take milk,open cereal,fetch milk
take mug,put mug,I'll wash the mug.
take mushroom,take panfrying,I'll wash the mushrooms.
take napkin,put-down jarhoney,I'll wash the napkin.
take oil,put-down spatula,fetch oil.
take onion,cut onion,I'll wash the onion.
take panfrying,pour-in egg,Wash the pan.
take paper,take cutlery,I'll wash the paper.
take pepper,take potato,I'll wash the pepper.
take platenew,clean-with brush,I'll wash the platenew.
take potato,put-in potato,I'll wash the potato.
take potmoka,put-down potmoka,I'll wash the potmoka.
take resterteabag,put-in teapot,I'll wash the resteurabag.
take saucepan,turn-on cooker,fetch saucepan
take saucepansmall,take bottlewater,fetch saucepans
take soap,take paella,fetch soap
take spatula,stir vegetable,I'm washing the spatula.
take squash,pick-up glass,I'll wash the squash.
take thighchicken,debone thighchicken,I'll wash the chicken.
take tortellini,put-in tortellini,fetch tortellini
take tray,put-down strainer,fetch tray.
take tupperware,put-in food,I'll wash the tupperware.
take-from garlic,remove-from garlic,wash garlic
take-from teabag,put-into bowlwashingup,I'll wash the teabag.
take-from tray,put-onto tray,fetch ingredients from pantry.
take-out cheese,take slicecheese,fetch cheese
take-out sauce,unfreeze water,fetch sauce
take-out tupperware,put-down blade,I'll wash the tupperware.
throw paper,clean clothtable,I'll wash the paper.
tip-into mixtureegg,pick-up loafbread,I'll wash the mixture egg.
turn knob,put-on cooker,I'm washing the utensils.
turn sausage,take sausage,fetch sausage
turn-down cooker,stir chilli,fetch ingredients
turn-off alarm,get gloveoven,I'll wash the dishes.
turn-off flame,open cover,wash the pot.
turn-off oven,pick-up kale,fetch water
turn-off phone,turn-on machine,I'll wash the phone.
turn-off timeroven,open oven,I'll wash the oven.
turn-on cooker,place-in strainer,"### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
turn-on heater,take-out dumpling,### action: turn-off heater
turn-on lighthob,pick-up kettle,I'm turning on the lighthouse.
turn-on oven,take-out bread,fetch ingredients
turn-on switch,turn knob,### action: switch to heat
turn-on switchlight,put-down glass,switch on the oven.
unfold clothtable,lay-down clothtable,I will wash the tablecloth.
wait-for cooker,close cooker,fetch ingredients
walk-into kitchen,open refrigerator,fetch ingredients
wash dish,put-on ladle,fetch dishes
wash hand,put-on meat,wash
wash paella,pick-up scrubber,fetch paella
wear apron,remove-off scale,Wash the apron.
wipe hand,open dishwasher,wash
open refrigerator,take-out egg,open refrigerator.
pick-up salt,pour salt,fetch salt
pick-up salt,put-down salt,fetch salt
pick-up mixer,pour salt,fetch
pick-up sugar,pick-up teaspoon,fetch sugar
put-in rubbish,take chilli,fetch the rubbish
put-in bagtea,put-in rubbish,fetch bagtea
wash teaspoon,pick-up ladle,I'll wash the teaspoon.
plug-in machinesousvide,put-in machinesousvide,I'll wash the machines.
get yoghurt,place yoghurt,fetch yoghurt
put tupperware,pick-up tupperware,I'll wash the Tupperware.
pick-up kettle,pour-into water,fetch kettle
place salt,mix pasta,fetch salt
dry hand,take hummus,I'll wash the utensils.
fill kettle,place kettle,fetch water.
carry bag,open package,fetch bag.
carry laundry,take mug,fetch laundry
close dishwasher,get dishwasher,fetch dishwasher.
crush leaf,get lemon,I'll wash the leaf.
get bag,arrange pepperbell,fetch bag
get kiwi,scoop kiwi,fetch kiwi
get pear,cut pear,fetch pear
open dishwasher,cut pear,fetch dishes
open doorwashingmachine,turn-off machinewashing,open doorwashingmachine.
open machinewashing,get-out clothes,fetch machine
open oven,turn-off oven,open oven.
place glass,pour wine,I'll wash the glass.
place onionspring,chop salad,I'll wash the onions.
place-up tablecloth,spray removerspot,fetch tablecloth
take boardcutting,wash boardcutting,wash the boardcutting board.
take cloth,put-onto forkpaper,fetch cloth.
take dishdirty,wash mug,wash the dish
take skin,search spice,wash the skin.
take-off skin,put-away skin,wash
water-off rubbish,get towelkitchen,fetch water.
wipe salad,squeeze waterexcess,wash the salad.
wipe-off filter,turn cheese,I'm washing the filter.
cut onionnew,remove-from onion,wash the onion.
take box,put-down box,fetch box.
pick-up oil,put-down oil,fetch oil.
check tortilla,flip tortilla,I'll wash the tortilla.
bend book,move bread,I'll wash the book.
pull-down tablecloth,take liquidwashingup,I'll wash the tablecloth.
put boardcutting,pick-up spatula,fetch boardcutting
wear apron,rinse mug,Wash the apron.
get oil,hold kettle,fetch oil.
put-down moka,pick-up bowlsalad,I'll wash the Moka pot.
throw shell,throw skin,I'll wash the shell.
pull-off banana,put-into banana,I'll wash the banana.
take cheese,slice cheese,fetch cheese
wash boardcutting,uncover steamer,fetch
dry bowlsalad,grab filter,Wash the dry salad bowls.
rinse makercoffee,grab liquidwashingup,fetch coffee beans
open jug,grab jug,I'll wash the jug.
open makercoffee,grab cloth,I'll wash the maker coffee.
pour-into coffee,grab glass,fetch coffee beans.
put-down makercoffee,cut-in tomato,I'll wash the maker coffee.
put-down machinecoffee,put-on oregano,fetch coffee beans.
put-on saucepan,turn-up gas,fetch saucepan
open rucksack,pick-up beer,I'll wash the rucksack.
pour water,pick-up squash,fetch water.
put-down tin,put-down rag,I'll wash the tin.
get butter,spread butter,fetch butter
take-out tray,open tongs,fetch the take-out tray.
fix paella,take steak,Wash the paella pan.
open doorcabinet,pick-up colander,Open cabinet.
pick-up salt,put salt,fetch salt
switch-off cooker,mix pasta,switch-off cooker.
crack egg,turn-off blender,I'm washing the egg.
pick-up saucepan,spoon rice,fetch saucepan
put-down remote,put-down cupcoffee,I'm washing the utensils.
move-along finger,push doorcupboard,I'll wash the utensils.
put-in egg,throw shell,fetch egg
peel potato,take peeler,wash the potato.
pick-up pasta,put-down pasta,fetch pasta
wipe surface,move glass,I'm washing the surface.
wear glove,pick-up jarthyme,I'll wash the chef's hands.
pour milk,pick-up milk,Pour milk into a saucepan.
look-in oven,empty mug,fetch ingredients
get bagonion,peel onion,I'll wash the bacon.
drop-into carrot,pick-up piececarrot,I'll wash the carrot.
put-into podcoffee,wash teaspoon,I'll wash the coffee pod.
close bintrash,close tupperware,fetch bintrash
pick-up bottleoil,pour-from oil,fetch
pick-up nesquik,open bottlenesquik,I'll wash the Nesquik.
place glass,push button,I'll wash the glass.
put-down boxpasta,grab salt,I'll wash the boxpasta.
pour-onto salt,shake containersalt,fetch salt
close dishwasher,take spatula,fetch dishwasher.
get towelkitchen,wipe-off towelkitchen,fetch towels
pull-out drawerdishwasher,pick-up basket,fetch dishes
put-in soap,clean tupperware,fetch soap
slide-out drawerdishwasher,close dishwasher,fetch dishes
take detergent,put clothes,fetch detergent
take bread,open flap,fetch bread.
pick-up pizza,open oven,fetch pizza
put-down bag,shake vegetable,fetch bag.
take food,put food,Wash the dishes.
pick-up jug,close kettle,fetch jug from pantry.
put saucepan,pick-up glass,fetch saucepan
cut peach,remove peach,I'll wash the peach.
take detergent,put-in clothes,fetch detergent
chop pizza,take-out pizza,Wash the pizza.
close oven,pick-up cheese,I'll wash the oven.
pick-up cloth,put rackoven,fetch cloth
pick-up traybaking,pour potato,fetch
put-on gloveoven,put-in pizza,I'll wash the glove.
take-out pizza,turn pizza,fetch pizza
turn-off oven,put-down holderpot,fetch water
place-in tortilla,take milk,Place tortilla in pan.
take-out sausage,put-in sausage,fetch sausage
take-out noodleconvenient,pour-into water,fetch noodles
take-out packagefood,press switch,fetch package.
throw wrapping,take napkin,I'll wash the wrapping.
put-into pasta,take salt,fetch pasta
open cabinet,close cabinet,open cabinet
put-in spoonwooden,pick-up cutlery,fetch utensils
pick cereal,remove-from bag,fetch cereal
put-down backpack,put-down panfrying,fetch water.
unzip backpack,take-out leek,I'll wash the backpack.
put bacon,put-down package,I'll wash the bacon.
open bag,open machinewashing,I'll wash the bag.
open bagnew,put-into bag,I'm washing the bag now.
pick-up paper,throw paper,fetch paper
put-down glass,pick-up glass,I'll wash the glass.
return-to boxplastic,hold boxfolding,I'll wash the boxplastic.
open bagplastic,scoop-up soup,I will wash the plastic bag.
pick-up onion,stir onion,wash onion
put-down boardchopping,put-in onion,I'll wash the board.
put boardcutting,take spatula,fetch boardcutting
clear spoonwooden,pick-up mug,I'll wash the spoonwooden.
put-down breadpitta,pour-into coffee,I'll wash the breadpitta.
adjust tupperware,scrape-into tofu,I'll wash the tupperware.
pour-in cereal,put-on cereal,fetch milk
pour-into cereal,put cereal,fetch milk.
wash hand,pick-up napkin,wash
rinse chopstick,put-onto chopstick,fetch vegetable.
put-down colander,end_of_video,I'll wash the colander.
put-away spice,pick-up onion,fetch spice
pick-up restspoon,rinse restspoon,I'm washing the spoon.
pick-up steak,put-on steak,Wash the steak.
wash carafe,rinse pitcher,wash carafe
put-in ladle,rinse colander,fetch the ladle.
pour egg,flip pattytuna,fetch eggs
pick-up tub,put-down tub,I'm washing the tub.
pick-up glass,fill glass,I'm washing the glass.
pick-up lemonade,put-down lemonade,fetch lemonade
throw food,pick-up scale,I'll wash the utensils.
measure rice,put-in wok,I'll wash the rice.
pick-up cantin,open cantin,fetch ingredients
pick-up salad,cut olive,fetch salad
put-down glass,pick-up spatula,I'll wash the glass.
put-down salt,pick-up glass,fetch salt
put-in glass,throw-away paper,fetch glass
rinse hand,shake hand,wash
throw garbage,rinse capsink,fetch garbage
pick-up cheese,put-down cheese,fetch cheese
put-on gloveoven,shake cutlery,I'll wash the glove.
throw-down gloverubber,wash gloverubber,I'll wash the gloverubber.
pick-up filter,pick-up cutlery,I'll wash the filter.
put-down holderpot,put-down bottlewater,I'll wash the pot.
pour-into kettle,throw rubbish,fetch water.
pour-into rice,close rice,fetch water.
put chicken,take salt,Wash the chicken.
check temperaturepie,open yoghurt,I'll wash the pie.
put-down kettle,put-down jarspice,fetch water.
close drawerfreezer,close freezer,open freezer
put rackdrying,pick-up saucepan,fetch water.
pick-up parmesan,put-down parmesan,I'll wash the parmesan.
put liquidwashing,put-down liquidwashing,fetch liquid
close liquidwashingup,put-down detergent,fetch liquid
pour liquidwashingup,put-down detergent,fetch
put-away matsushi,pick-up tupperware,fetch matsushi
open wrapmeat,remove-from meat,I'll wash the meat.
taste meat,pick-up spoonwooden,fetch meat
cut melon,peel melon,I'll wash the melon.
pick-up cereal,pour-in milk,fetch cereal
put-down milk,pick-up milk,fetch milk
store milk,pick-up egg,fetch milk
open oven,slide-onto pizza,open oven.
pour water,lather scoop,fetch water.
cut mozzarella,pick-up mozzarella,I'll wash the mozzarella.
lift basecoffeemachine,open bag,fetch base coffee machine
pick-up salad,open salad,fetch salad
put-down mug,open bottlemilk,fetch water.
pick-up scissors,put-down bagpinenut,fetch scissors
put-in oil,put-down oil,fetch oil
move dough,dry hand,fetch dough
pick-up tray,rinse utensil,fetch
put-down panfrying,open dishwasher,Wash the pan.
move glass,pick-up glass,fetch glass
open paperbaking,pick-up scissors,fetch ingredients
put-down seedolive,close packageolive,I'll wash the seedolive.
put-in bag,put-in freezer,fetch ingredients
dry hand,put-down cloth,I'll wash the utensils.
test potato,stir potato,Wash the potato.
pick-up cutlery,pick-up boardchopping,fetch cutlery
put-in pie,adjust heat,fetch pie
cut pineapple,pick-up pineapple,I'll wash the pineapple.
roll dough,pick-up chilli,I'll wash the dough.
open pizza,put-down pizza,fetch pizza
chop garlic,peel garlic,Wash garlic.
pour raisin,put-away raisin,fetch raisins
take-from paper,put-down rollpaper,I'll wash the utensils.
open oven,pick-up salad,open oven.
hang bag,pick-up cutlery,fetch bag.
put breastchicken,wash hand,I'll wash the chicken.
pick-up cloth,put-down cloth,fetch cloth
move-around piecetofu,separate piecetofu,I'll wash the piecetofu.
move-in carrot,flip burgertuna,fetch carrot
open dishwasher,put-in dishwasher,fetch dishes
pick-up tupperware,pick-up pie,fetch tupperware
pull-through spatula,stir mixture,I'm washing the spatula.
put-in dishwasher,wash catchersink,fetch dishes
stir broccoli,put-down dishoven,wash broccoli.
stir food,stir rice,Wash the utensils.
place liquidwashingup,put-in scissors,fetch liquid
smell starter,put-in milk,I'll wash the starter.
put-on potato,pick-up onion,I'll wash the potato.
get-from tablet,put-down glass,fetch ingredients
pick-up strainerteapot,put-in bottletonicwater,I'll wash the strainerteapot.
pick-up cutlery,pick-up cheese,fetch cutlery
put-down teaspoon,rinse silverware,I'll wash the teaspoon.
rinse teaspoon,lather teaspoon,wash the teaspoon.
fold napkin,pick-up trivet,I will wash the napkin.
pick-up teaspoon,open bingarbage,fetch
put-down tongs,close tongs,I'll wash the tongs.
eat chunkporkbelly,pick-up teaspoon,Wash the chunkporkbelly.
push levertoaster,spread-on butter,I'm going to wash the toaster.
put-in dough,put-down papergreaseproof,fetch dough
take liquidwashingup,pour liquidwashingup,fetch liquid
put-down traybaking,put-down pizza,fetch traybaking
fill kettle,rinse tray,fetch water.
pick-up stone,place stone,fetch stone
spread-in binleftoverfood,put-in dishwasher,fetch
put-into filter,fill-up jug,I'll wash the vegetables.
drink water,pour-into water,fetch water
pour-into water,pick-up tupperware,fetch water.
pick-up potato,shake pepper,fetch potato
take boxlunch,put boxlunch,fetch boxlunch
pick-up glass,place glass,I'm washing the glass.
adjust stereo,open blind,I'll wash the dishes.
wash chopstick,wash dish,fetch chopstick
take rag,rinse rag,I'll wash the rag.
flip tortilla,dry hand,Wash tortilla
close bottleoil,store sauce,fetch oil
open egg,pour-in egg,I'll wash the egg.
mix ingredient,pour-into water,I'll wash the ingredients.
put-inside soap,take basket,fetch dish soap
put-down sieve,move jugmeasuring,I'll wash the sieve.
pick-up holdernapkin,pick-up glass,I'm washing the napkin.
turn-on ovenmicrowave,take-from packagecookie,I'm washing the ovenmicrowave.
open bag,pour-into water,I'll wash the bag.
take squash,take salmon,I'll wash the squash.
grab boardcutting,wipe boardcutting,fetch boardcutting
grab saucepan,grab spatula,fetch saucepan
pour-out water,pick-up boxlunch,fetch water.
rinse cutlery,wash cutlery,fetch cutlery
open-up boxlunch,put-in content,fetch lunch
put lemon,pick-up detergent,I'll wash the lemon.
pick-up scissors,cut pizza,fetch scissors
grab salmon,put salmon,fetch salmon
pick-up rubbish,wash lidsaucepan,fetch the rubbish
put boardchopping,chop carrot,fetch ingredients.
pick-up glass,push-out glass,I'm washing the glass.
take onion,put-on onion,I'll wash the onion.
dry hand,pick-up salad,I'll wash the utensils.
put-on salt,pour-into water,fetch salt
take saucepan,scoop food,fetch saucepan
take-out sticker,throw rubbish,fetch the take-out sticker
mix meat,stir meat,wash meat.
open bagshopping,put-down tin,fetch bag
open basketlaundry,pick-up powderwashing,fetch laundry
close boxcereal,move boxcereal,I'll wash the boxcereal.
pick-up can,pick-up napkin,I'll wash the utensils.
pick-up clip,pick-up cloth,fetch
take cloth,put-down cloth,fetch cloth.
drain pasta,pick-up colander,Drain pasta.
pick-up ladle,pour-in salsa,I'm washing the ladle.
pick-up boardcutting,rinse boardcutting,wash the boardcutting knife.
pick-up spatula,put-down spatula,fetch
pick-up fingerfish,put-down fingerfish,fetch fingerfish
