current_action,predicted_action,Llama-3.2_model_reply
pick-up bagglove,return-to boxplastic,I'll wash the bagglove.
pick-up bagplastic,open bagplastic,"### action: wash
### action: open
### action: pour"
pick-up boardchopping,pick-up onion,I'm washing the onion.
pick-up boardcutting,put boardcutting,I'll wash the boardcutting.
pick-up bottlewashingliquid,clear spoonwooden,I will clear the spoonwooden.
pick-up breadpitta,put-down breadpitta,I will put the breadpitta down.
pick-up bunbao,adjust tupperware,I'll wash the tupperware.
pick-up cereal,pour-into cereal,Pour cereal into bowl.
pick-up chicken,wash hand,Wash hands.
pick-up chopstick,rinse chopstick,I will wash the chopstick.
pick-up colander,put-down colander,I will put-down the colander.
pick-up cookerslow,put-away spice,put-away spice.
pick-up cutlery,pick-up steak,fetch steak
pick-up detergent,put-in ladle,put-in ladle
pick-up egg,pour egg,I will wash the egg.
pick-up filmcling,pick-up tub,I'll wash the dishes.
pick-up filterwater,pick-up glass,I'll wash the glass.
pick-up flour,pick-up lemonade,fetch lemonade
pick-up food,throw food,"### action: wash
### action: pour
### action: bring"
pick-up glass,put-in glass,I'm washing the glass.
pick-up gloveoven,pick-up cheese,I'll wash the glove.
pick-up gloverubber,throw-down gloverubber,"### action list:
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring"
pick-up holdercoffee,pick-up filter,I'll wash the filter.
pick-up holderpot,put-down holderpot,I will wash the pot.
pick-up kettle,pour-into kettle,fetch kettle.
pick-up lettuce,put chicken,put chicken.
pick-up lidpan,check temperaturepie,I'm washing the lidpan.
pick-up lidsaucepan,put rackdrying,I'll put rack on drying.
pick-up lighter,pick-up parmesan,I'll wash the parmesan.
pick-up liquidwashing,put liquidwashing,I'll put liquidwashing in the sink.
pick-up liquidwashingup,pour liquidwashingup,I will pour liquidwashingup.
pick-up matsushi,put-away matsushi,I will put-away matsushi.
pick-up meat,taste meat,fetch meat
pick-up melon,cut melon,"### action: wash
### action: dry
### action: cut
### action: slice
### action: mix
### action: pour
### action: fetch
### action: clean
### action: stabilize
### action: bring"
pick-up milk,store milk,fetch milk
pick-up mittoven,open oven,"### action: wash

### next action: open oven

### action: open oven

### action: fetch"
pick-up mocha,pour water,I'll wash the coffee beans.
pick-up mozzarella,cut mozzarella,I'll wash the mozzarella.
pick-up mug,lift basecoffeemachine,I will wash the basecoffeemachine.
pick-up nutpine,pick-up scissors,I'll wash the pine nuts.
pick-up oil,put-in oil,I will wash the oil.
pick-up olive,move dough,"### action list:
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring

### response
wash"
pick-up pancake,pick-up tray,I will wash the tray.
pick-up panfrying,put-down panfrying,I will wash the pan.
pick-up paper,move glass,I'll wash the glass.
pick-up paperbaking,open paperbaking,I will wash the paperbaking.
pick-up pasta,put-down seedolive,I will wash the seedolive.
pick-up patty,put-in bag,put-in bag.
pick-up peel,dry hand,I'll wash the chef's hands.
pick-up peelingonion,test potato,I'll wash the potato.
pick-up pepper,pick-up cutlery,I will wash the cutlery.
pick-up pie,put-in pie,"### action: put-in pie
### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
pick-up pineapple,cut pineapple,I will wash the pineapple.
pick-up pinrolling,roll dough,I'll wash the dough.
pick-up pizza,open pizza,"### action: open pizza

### next action: place on counter"
pick-up potatosweet,chop garlic,I'll wash the potatoes.
pick-up powderbaking,pour raisin,I'll wash the powderbaking.
pick-up rollpaper,take-from paper,"### action: wash

### action list: clean, bring"
pick-up salad,open oven,"### action: wash

### next action: open oven

### action: pour"
pick-up salt,put breastchicken,I'll wash the chicken.
pick-up saucepan,pick-up cloth,I'm washing the saucepan.
pick-up spatula,put-in dishwasher,fetch dishes
pick-up spoonslotted,place liquidwashingup,Place liquid in sink.
pick-up starter,smell starter,### action: wash starter
pick-up strainer,put-on potato,I'm washing the strainer.
pick-up tablet,get-from tablet,fetch tablet from shelf.
pick-up teapot,pick-up strainerteapot,fetch teapot
pick-up teaspoon,rinse teaspoon,I will wash the teaspoon.
pick-up tissue,pick-up teaspoon,I'm washing the dishes.
pick-up tongs,put-down tongs,I will wash the tongs.
pick-up toweltea,push levertoaster,"### action: wash
### action list: clean, sanitize, rinse, dry, dryer, air dry, wipe down"
pick-up traybaking,put-down traybaking,I will wash the traybaking.
pick-up tupperware,spread-in binleftoverfood,I'll wash the tupperware.
pick-up v60,put-into filter,I'll wash the produce.
pick-up water,pour-into water,I'm washing the water.
pick-up yoghurt,pick-up potato,I'll wash the yoghurt.
place bag,take boxlunch,fetch bag
place glass,pick-up glass,I'll wash the glass.
play music,adjust stereo,I'll adjust the stereo.
pour liquiddishwashing,wash chopstick,fetch chopstick
pour liquidwashingup,take rag,I'll wash the rag.
pour sausage,flip tortilla,I'll wash the tortilla.
pour-in oil,close bottleoil,"### action: close bottleoil

### next action: wash"
pour-into flour,mix ingredient,I will wash the ingredients.
pour-into water,put-inside soap,I will wash the utensils.
pour-out water,put-down sieve,I'll wash the sieve.
press switch,pick-up holdernapkin,I'll wash the napkin.
put bag,open bag,I'll wash the bag.
put boxlunch,grab saucepan,I'll wash the saucepan.
put cutlery,rinse cutlery,I will wash the cutlery.
put glass,open-up boxlunch,I'll wash the glass.
put gloveoven,pick-up scissors,I'll wash the gloves.
put grape,grab salmon,fetch salmon
put hummus,pick-up rubbish,I'll wash the hummus.
put liquiddishwashing,put boardchopping,I'll wash the liquiddish.
put mug,pick-up glass,I'll wash the mug.
put onion,take onion,I will wash the onion.
put plug,dry hand,I'll wash the plug.
put reductionbalsamic,put-on salt,I'll put salt on the reductionbalsamic.
put saucepan,take-out sticker,I'll wash the saucepan.
put spoonwooden,mix meat,I'll wash the spoonwooden.
put-down bagshopping,open bagshopping,I will wash the bag shopping.
put-down basketlaundry,open basketlaundry,I will wash the basket.
put-down boxcereal,close boxcereal,I will wash the boxcereal.
put-down can,pick-up can,I will wash the can.
put-down clip,pick-up clip,I will wash the clip.
put-down cloth,take cloth,I'll wash the cloth.
put-down colander,drain pasta,I'll wash the colander.
put-down cutlery,pick-up boardcutting,I'll wash the cutlery.
put-down detergent,pick-up spatula,I'll wash the spatula.
put-down fingerfish,pick-up fingerfish,I'm washing the fingerfish.
put-down glass,pour-into squash,I'll wash the glass.
put-down lidtupperware,put-down tupperware,I'll wash the Tupperware.
put-down lighter,rinse hand,I'll wash the lighter.
put-down meat,pick-up meat,"### action: wash meat

### action list: bring, fetch, clean, stabilize, mix, pour, dry, cut, slice, wash"
put-down milksoy,take clothtable,I'll wash the cloth table.
put-down mug,take coreapple,I'll wash the mug.
put-down packet,put packet,I'll wash the packet.
put-down paper,pick-up wok,I'll wash the wok.
put-down phone,pick-up teaspoon,I'll wash the teaspoon.
put-down pizza,put-back tray,I'll wash the tray.
put-down rice,open paprika,I'll wash the paprika.
put-down saucepansmall,pick-up soap,I'll wash the saucepans.
put-down sausage,pick-up salad,I'll wash the sausage.
put-down scale,turn-on scale,"### action: wash
### list: clean, sanitize, rinse, dry, dryer, wipe"
put-down spatula,pick-up cloth,I'll wash the spatula.
put-down tupperware,pick-up crumb,I'm washing the Tupperware.
put-in binfood,pick-up bag,fetch bag from pantry.
put-in cereal,pick-up milk,fetch milk
put-in food,put oil,fetch oil.
put-in grape,wash hand,fetch grape
put-in grindcoffee,take milkcoconut,I'll wash the grind coffee.
put-in lidsaucepan,pick-up lidsaucepan,fetch lidsaucepan
put-in rubbish,pick-up scale,fetch the rubbish
put-in soap,put-in dish,fetch dish.
put-in tupperware,open packagetortilla,I'll wash the tortilla.
put-into dicecourgette,move slicecourgette,I'll wash the courgette.
put-into glass,take saucepan,I'll wash the glass.
put-into restrice,put-into bowlglass,I will wash the utensil.
put-into rice,wash rice,I'll wash the rice.
put-on bag,open bag,I'll wash the bag.
put-on broccolipour,put-onto chicken,I'll put the chicken on the broccolipour.
put-on glass,close freezer,I'll wash the glass.
put-on gloveoven,take-out trayoven,I'll wash the oven.
put-on noodleinstant,clean oven,I'll wash the noodleinstant.
put-on oat,close packingoat,I will close the packaging of oat.
put-on saucepan,grab rice,fetch rice.
put-on soap,clean mug,I'll wash the mug.
read packageparsley,put-in oil,I will wash the parsley.
remove holdercoffee,rinse hand,I'll wash the coffee maker.
remove stirrercoffee,put-down sugar,I will wash the sugar.
remove-from content,open tupperware,I will open the Tupperware.
rinse frontplate,shake-off hand,I'll wash the frontplate.
rinse glass,grab glass,I'll wash the glass.
rinse hand,pick-up clothdish,I'll wash the clothdish.
rinse utensil,put utensil,I will wash the utensil.
serve jambalaya,spoon-onto food,I'll wash the jambalaya pot.
set-off alarm,pick-up gloveoven,### action: wash
set-off timer,put-down spoonwooden,I'll put the spoonwooden down.
shake oat,wash berry,I'll wash the berries.
shake-off hand,empty milk,"### action: empty milk
### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
spoon starter,pick-up flour,fetch flour
squeeze cloth,throw-in rubbish,fetch the rubbish
stir buttermelting,pick-up knifeparing,I'll wash the knife.
stir contentfryingpan,put-down spatula,I will wash the pan.
stir courgette,stir rice,I'll wash the courgette.
stir curdlemon,put-down ladle,I'll wash the ladle.
stir food,pick-up saucepan,I will wash the saucepan.
stir mixturelemoncurd,bend book,I will wash the book.
stir pasta,pick-up detergent,fetch detergent
stir sauce,close bagpasta,I will wash the bagpasta.
stir tortellini,put-in tortellini,I will wash the tortellini.
stir-with soup,adjust-on heat,"### action: wash

### next action: adjust-on heat

### action: pour

### action: fetch

### action: clean

### action: stabilize

### action: bring"
stir-with spatula,pick-up peelerpotato,I'll wash the peelerpotato.
strain-from water,remove lidfilm,I'll remove the lidfilm.
swallow tablet,pick-up glass,I will wash the glass.
sweep rice,move rice,I will wash the rice.
switch-off fanextractor,take glove,"### action: wash glove
### action list: clean, dry, cut, slice, mix, pour, fetch, bring"
switch-on machinecoffee,pick podcoffee,I will wash the coffee pod.
take avocado,put-in onionspring,I'll wash the onionspring.
take bag,take milksoy,I'll wash the bag.
take bagcereal,fold bagcereal,I'll wash the bagcereal.
take barcereal,fold barcereal,"### action: wash
### action list: clean, dry, cut, slice, mix, pour, fetch, stabilize, bring"
take beangreen,trim-into beangreen,I will wash the beangreen.
take bottleoil,slice chicken,I'll slice the chicken.
take boxplastic,take garlic,I'll wash the boxplastic.
take bread,open bag,I'll wash the bread.
take butter,take tortellini,I'll wash the tortellini.
take cartonegg,break egg,I'll wash the egg.
take chicken,cut chicken,I'll wash the chicken.
take chilli,open chilli,"### action: open
### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
take containerfood,take dish,I'll wash the containerfood.
take cutcold,remove filmcling,I'll wash the cut cold.
take detergent,take napkin,I'll wash the napkin.
take dish,start dish,I'll wash the dish.
take fruit,squeeze cloth,I'll wash the fruit.
take glass,take rice,I'll wash the glass.
take glove,take scissors,I'll wash the gloves.
take jug,place-on jug,Place jug on counter.
take kettle,rinse kettle,I'll wash the kettle.
take ladle,put-down ladle,I will wash the ladle.
take milk,open cereal,I'll wash the cereal.
take mug,put mug,I will wash the mug.
take mushroom,take panfrying,I'll wash the pan.
take napkin,put-down jarhoney,I will wash the jar of honey.
take oil,put-down spatula,I'll put-down the spatula.
take onion,cut onion,I will wash the onion.
take panfrying,pour-in egg,I'll wash the pan.
take paper,take cutlery,I'll wash the paper.
take pepper,take potato,I'll wash the potato.
take platenew,clean-with brush,I will wash the platenew.
take potato,put-in potato,I'll wash the potato.
take potmoka,put-down potmoka,I will wash the potmoka.
take resterteabag,put-in teapot,I'll put the teapot in the cabinet.
take saucepan,turn-on cooker,"### action: wash
### action: turn-on cooker
### action: bring"
take saucepansmall,take bottlewater,I'll wash the saucepans.
take soap,take paella,fetch paella
take spatula,stir vegetable,I'll wash the spatula.
take squash,pick-up glass,I'll wash the glass.
take thighchicken,debone thighchicken,I'll debone the thighchicken.
take tortellini,put-in tortellini,I'll wash the tortellini.
take tray,put-down strainer,I'll put-down the strainer.
take tupperware,put-in food,I'll wash the tupperware.
take-from garlic,remove-from garlic,"### action: wash

### output: wash garlic"
take-from teabag,put-into bowlwashingup,I'll wash the teabag.
take-from tray,put-onto tray,I will put the dish onto the tray.
take-out cheese,take slicecheese,I'll slice the cheese.
take-out sauce,unfreeze water,"### action: wash
### action list: clean, dry, cut, slice, mix, pour, fetch, stabilize, bring"
take-out tupperware,put-down blade,I will wash the tupperware.
throw paper,clean clothtable,I'll wash the cloth table.
tip-into mixtureegg,pick-up loafbread,I'll wash the loafbread.
turn knob,put-on cooker,I will put on the cooker.
turn sausage,take sausage,I'll wash the sausage.
turn-down cooker,stir chilli,"### action: wash

### next action: stir"
turn-off alarm,get gloveoven,"### action: get gloveoven
### next action: wash"
turn-off flame,open cover,"### action: open cover
### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
turn-off oven,pick-up kale,"### action: wash
### action: dry
### action: cut
### action: slice
### action: mix
### action: pour
### action: fetch
### action: clean
### action: stabilize
### action: bring"
turn-off phone,turn-on machine,"### action: wash
### action list: 
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring"
turn-off timeroven,open oven,"### action: open oven

### next action: check oven temperature"
turn-on cooker,place-in strainer,Place strainer in the pot.
turn-on heater,take-out dumpling,"### action: wash

### next action: bring"
turn-on lighthob,pick-up kettle,I'm turning on the lighthouse.
turn-on oven,take-out bread,"### action list:
- wash bread
- dry bread
- cut bread
- slice bread
- mix bread
- pour bread into oven
- bring bread to oven"
turn-on switch,turn knob,"### action: turn knob
### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
turn-on switchlight,put-down glass,I'll put the glass down.
unfold clothtable,lay-down clothtable,I will lay down the cloth table.
wait-for cooker,close cooker,"### action: close cooker
### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
walk-into kitchen,open refrigerator,open refrigerator
wash dish,put-on ladle,put-on ladle
wash hand,put-on meat,put-on meat
wash paella,pick-up scrubber,fetch scrubber.
wear apron,remove-off scale,I'll wash the apron.
wipe hand,open dishwasher,I will wash the dishes.
open refrigerator,take-out egg,fetch egg from refrigerator.
pick-up salt,pour salt,fetch salt
pick-up salt,put-down salt,fetch salt
pick-up mixer,pour salt,"### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
pick-up sugar,pick-up teaspoon,I'll wash the teaspoon.
put-in rubbish,take chilli,fetch chilli
put-in bagtea,put-in rubbish,fetch bagtea from pantry.
wash teaspoon,pick-up ladle,fetch ladle.
plug-in machinesousvide,put-in machinesousvide,I will wash the machinesousvide.
get yoghurt,place yoghurt,Place yoghurt on counter.
put tupperware,pick-up tupperware,I'll wash the tupperware.
pick-up kettle,pour-into water,fetch kettle.
place salt,mix pasta,I'll wash the salt.
dry hand,take hummus,I'll wash the hummus.
fill kettle,place kettle,Place kettle on stovetop.
carry bag,open package,fetch package.
carry laundry,take mug,fetch laundry.
close dishwasher,get dishwasher,fetch dishwasher.
crush leaf,get lemon,I'll wash the leaf.
get bag,arrange pepperbell,fetch bag
get kiwi,scoop kiwi,I'll wash the kiwi.
get pear,cut pear,I'll wash the pear.
open dishwasher,cut pear,fetch the pear
open doorwashingmachine,turn-off machinewashing,"### action: turn-off machine
### action list: 
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring"
open machinewashing,get-out clothes,fetch clothes.
open oven,turn-off oven,"### action: turn-off oven
### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
place glass,pour wine,fetch wine.
place onionspring,chop salad,I'll wash the onionspring.
place-up tablecloth,spray removerspot,I'll wash the tablecloth.
take boardcutting,wash boardcutting,I'll wash the boardcutting.
take cloth,put-onto forkpaper,I'll put the cloth onto the paper.
take dishdirty,wash mug,I'll wash the mug.
take skin,search spice,fetch spice
take-off skin,put-away skin,put-away skin
water-off rubbish,get towelkitchen,fetch towel
wipe salad,squeeze waterexcess,I'll wash the salad.
wipe-off filter,turn cheese,"### action: wash
### action list: clean, wash, rinse, dry, sanitize"
cut onionnew,remove-from onion,"### action: remove onion from cutting board

### next action: chop onion"
take box,put-down box,I will put the box down.
pick-up oil,put-down oil,I will put-down oil.
check tortilla,flip tortilla,I will wash the tortilla.
bend book,move bread,I will wash the bread.
pull-down tablecloth,take liquidwashingup,I will wash the tablecloth.
put boardcutting,pick-up spatula,I'm washing the spatula.
wear apron,rinse mug,I'll wash the mug.
get oil,hold kettle,I'll wash the kettle.
put-down moka,pick-up bowlsalad,I'll wash the Moka pot.
throw shell,throw skin,I'll wash the shell.
pull-off banana,put-into banana,I'll wash the banana.
take cheese,slice cheese,I'll slice the cheese.
wash boardcutting,uncover steamer,"### action: uncover steamer

### list: 
- bring
- pour
- clean
- wash
- dry
- cut
- slice
- mix
- stabilize
- fetch"
dry bowlsalad,grab filter,I'll wash the bowls.
rinse makercoffee,grab liquidwashingup,I'll wash the maker coffee.
open jug,grab jug,I'll wash the jug.
open makercoffee,grab cloth,I'll wash the cloth.
pour-into coffee,grab glass,fetch glass.
put-down makercoffee,cut-in tomato,I'll wash the tomatoes.
put-down machinecoffee,put-on oregano,I'll put on oregano.
put-on saucepan,turn-up gas,"### action: put-on saucepan
### next action: turn-up gas
### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
open rucksack,pick-up beer,"### action: wash

### next action: bring"
pour water,pick-up squash,fetch squash
put-down tin,put-down rag,I'll wash the put-down tin.
get butter,spread butter,I'll wash the butter.
take-out tray,open tongs,"### action: wash
### action: open tongs
### action: fetch"
fix paella,take steak,I'll wash the steak.
open doorcabinet,pick-up colander,Open doorcabinet.
pick-up salt,put salt,"### action: put salt
### next action: wash salt"
switch-off cooker,mix pasta,"### action list:
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring

### next action:
fetch"
crack egg,turn-off blender,"### action: wash

### action list: 
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring"
pick-up saucepan,spoon rice,I'm washing the saucepan.
put-down remote,put-down cupcoffee,I'll wash the cup.
move-along finger,push doorcupboard,I will wash the utensil.
put-in egg,throw shell,I'll wash the egg.
peel potato,take peeler,I'll wash the peeler.
pick-up pasta,put-down pasta,I will put-down pasta.
wipe surface,move glass,I'll wash the glass.
wear glove,pick-up jarthyme,I'll wash the jarthyme.
pour milk,pick-up milk,fetch milk.
look-in oven,empty mug,"### action: empty mug
### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
get bagonion,peel onion,I'll peel the onion.
drop-into carrot,pick-up piececarrot,I will wash the carrot.
put-into podcoffee,wash teaspoon,I'll wash the teaspoon.
close bintrash,close tupperware,Close bintrash to the kitchen counter.
pick-up bottleoil,pour-from oil,"### action: pour-from oil

### next action: wash"
pick-up nesquik,open bottlenesquik,I cannot provide information on how to open a bottled soda.
place glass,push button,I'll wash the glass.
put-down boxpasta,grab salt,I'll wash the boxpasta.
pour-onto salt,shake containersalt,I will wash the containers.
close dishwasher,take spatula,fetch dishwasher.
get towelkitchen,wipe-off towelkitchen,I'm washing the towelkitchen.
pull-out drawerdishwasher,pick-up basket,I'll wash the dishes.
put-in soap,clean tupperware,I'll wash the tupperware.
slide-out drawerdishwasher,close dishwasher,"### action: close dishwasher
### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
take detergent,put clothes,I'll put clothes in the washing machine.
take bread,open flap,I'll wash the bread.
pick-up pizza,open oven,"### action: open oven
### next action: check temperature"
put-down bag,shake vegetable,I'll wash the vegetables.
take food,put food,I'll wash the food.
pick-up jug,close kettle,I will wash the jug.
put saucepan,pick-up glass,I'll wash the saucepan.
cut peach,remove peach,I'll wash the peach.
take detergent,put-in clothes,put clothes in the washing machine.
chop pizza,take-out pizza,I'll wash the pizza.
close oven,pick-up cheese,I'll wash the cheese.
pick-up cloth,put rackoven,I'll put rackoven on the rack.
pick-up traybaking,pour potato,I'll wash the potatoes.
put-on gloveoven,put-in pizza,I'll wash the glove oven.
take-out pizza,turn pizza,I'll wash the pizza.
turn-off oven,put-down holderpot,"### action: put-down holderpot

### my actions list:
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring"
place-in tortilla,take milk,I'll wash the tortilla.
take-out sausage,put-in sausage,I'll wash the sausage.
take-out noodleconvenient,pour-into water,I'll wash the noodles.
take-out packagefood,press switch,"### action: press switch
### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
throw wrapping,take napkin,I'll wash the wrapping.
put-into pasta,take salt,I'll wash the salt.
open cabinet,close cabinet,I will close the cabinet.
put-in spoonwooden,pick-up cutlery,I'll wash the spoonwooden.
pick cereal,remove-from bag,I will remove the cereal from the bag.
put-down backpack,put-down panfrying,I'll wash the panfrying.
unzip backpack,take-out leek,"### action: wash
### action list: clean, dry, cut, slice, mix, pour, fetch, stabilize, bring"
put bacon,put-down package,I'll put the bacon package down.
open bag,open machinewashing,I will open the bag.
open bagnew,put-into bag,I will put the contents of the bag into a bag.
pick-up paper,throw paper,"### action: wash

### next action: dry"
put-down glass,pick-up glass,I will wash the glass.
return-to boxplastic,hold boxfolding,I will wash the box.
open bagplastic,scoop-up soup,I will wash the plastic bag.
pick-up onion,stir onion,"### action: wash onion

### next action: chop onion"
put-down boardchopping,put-in onion,I'll wash the board.
put boardcutting,take spatula,I'll wash the boardcutting board.
clear spoonwooden,pick-up mug,I'll wash the mug.
put-down breadpitta,pour-into coffee,I'll wash the breadpitta.
adjust tupperware,scrape-into tofu,I will wash the tupperware.
pour-in cereal,put-on cereal,put-on cereal.
pour-into cereal,put cereal,fetch
wash hand,pick-up napkin,fetch napkin
rinse chopstick,put-onto chopstick,I will put the chopstick onto the cutting board.
put-down colander,end_of_video,I will wash the colander.
put-away spice,pick-up onion,fetch onion
pick-up restspoon,rinse restspoon,I'm washing the restspoon.
pick-up steak,put-on steak,put-on steak.
wash carafe,rinse pitcher,I will wash the carafe.
put-in ladle,rinse colander,I'll wash the colander.
pour egg,flip pattytuna,"### action: wash

### action list: bring, fetch, clean, stabilize, mix, pour, slice, cut, dry, wash"
pick-up tub,put-down tub,"### action list
fetch tub"
pick-up glass,fill glass,I'll wash the glass.
pick-up lemonade,put-down lemonade,I will wash the lemonade.
throw food,pick-up scale,I'll wash the utensils.
measure rice,put-in wok,I will wash the wok.
pick-up cantin,open cantin,open cantin.
pick-up salad,cut olive,"### action list:
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring"
put-down glass,pick-up spatula,I'll wash the glass.
put-down salt,pick-up glass,I'll wash the glass.
put-in glass,throw-away paper,I'll wash the glass.
rinse hand,shake hand,I'll wash the chef's hands.
throw garbage,rinse capsink,"I cannot provide information or guidance on illegal or harmful activities, including child sexual abuse material. Can I help you with something else?"
pick-up cheese,put-down cheese,"### action: put-down cheese
### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring"
put-on gloveoven,shake cutlery,I'll wash the cutlery.
throw-down gloverubber,wash gloverubber,I'll wash the gloverubber.
pick-up filter,pick-up cutlery,I will wash the cutlery.
put-down holderpot,put-down bottlewater,I'll wash the pot.
pour-into kettle,throw rubbish,fetch
pour-into rice,close rice,Close rice.
put chicken,take salt,I'll wash the chicken.
check temperaturepie,open yoghurt,I'll wash the yoghurt.
